Neighborhood (group),Number of Records,Age,Chas,Crim,Dis,Indus,Lstat,Mv,Neighborhood,Nox,Ptratio,Rad,Rooms,Tax,Zn
GroupC,1,83.3,0,0.06588,2.741,2.46,7.56,39.8,Belmont,0.488,17.8,3,7.765,193,0
GroupC,1,62.2,0,0.06888,2.5979,2.46,9.45,36.2,Belmont,0.488,17.8,3,6.144,193,0
GroupC,1,92.2,0,0.09103,2.7006,2.46,4.82,37.9,Belmont,0.488,17.8,3,7.155,193,0
GroupC,1,95.6,0,0.10008,2.847,2.46,5.68,32.5,Belmont,0.488,17.8,3,6.563,193,0
GroupC,1,89.8,0,0.08308,2.9879,2.46,13.98,26.4,Belmont,0.488,17.8,3,5.604,193,0
GroupC,1,68.8,0,0.06047,3.2797,2.46,13.15,29.6,Belmont,0.488,17.8,3,6.153,193,0
GroupC,1,53.6,0,0.05602,3.1992,2.46,4.45,50,Belmont,0.488,17.8,3,7.831,193,0
GroupC,1,41.1,0,0.07875,3.7886,3.44,6.68,32,Lexington,0.437,15.2,5,6.782,398,45
GroupC,1,29.1,0,0.12579,4.5667,3.44,4.56,29.8,Lexington,0.437,15.2,5,6.556,398,45
GroupC,1,38.9,0,0.0837,4.5667,3.44,5.39,34.9,Lexington,0.437,15.2,5,7.185,398,45
GroupC,1,21.5,0,0.09068,6.4798,3.44,5.1,33,Lexington,0.437,15.2,5,6.951,398,45
GroupC,1,30.8,0,0.06911,6.4798,3.44,4.69,30.5,Lexington,0.437,15.2,5,6.739,398,45
GroupC,1,26.3,0,0.08664,6.4798,3.44,2.87,36.4,Lexington,0.437,15.2,5,7.178,398,45
GroupC,1,9.9,0,0.02187,6.2196,2.93,5.03,31.1,Bedford,0.401,15.6,1,6.8,265,60
GroupC,1,18.8,0,0.01439,6.2196,2.93,4.38,29.1,Bedford,0.401,15.6,1,6.604,265,60
GroupD,1,32,0,0.01381,5.6484,0.46,2.97,50,Lincoln,0.422,14.4,4,7.875,255,80
GroupC,1,34.1,0,0.04011,7.309,1.52,4.08,33.3,Concord,0.404,12.6,2,7.287,329,80
GroupC,1,36.6,0,0.04666,7.309,1.52,8.61,30.3,Concord,0.404,12.6,2,7.107,329,80
GroupC,1,38.3,0,0.03768,7.309,1.52,6.62,34.6,Concord,0.404,12.6,2,7.274,329,80
GroupC,1,15.3,0,0.0315,7.6534,1.47,4.56,34.9,Sudbury,0.403,17,3,6.975,402,95
GroupC,1,13.9,0,0.01778,7.6534,1.47,4.45,32.9,Sudbury,0.403,17,3,7.135,402,95
GroupC,1,38.4,0,0.03445,6.27,2.03,7.43,24.1,Wayland,0.415,14.7,2,6.162,348,82.5
GroupC,1,15.7,0,0.02177,6.27,2.03,3.11,42.3,Wayland,0.415,14.7,2,7.61,348,82.5
GroupD,1,33.2,0,0.0351,5.118,2.68,3.81,48.5,Weston,0.4161,14.7,4,7.853,224,95
GroupD,1,31.9,0,0.02009,5.118,2.68,2.88,50,Weston,0.4161,14.7,4,8.034,224,95
GroupB,1,22.3,0,0.13642,3.9454,10.59,10.87,22.6,Waltham,0.489,18.6,4,5.891,277,0
GroupB,1,52.5,0,0.22969,4.3549,10.59,10.97,24.4,Waltham,0.489,18.6,4,6.326,277,0
GroupB,1,72.7,0,0.25199,4.3549,10.59,18.06,22.5,Waltham,0.489,18.6,4,5.783,277,0
GroupB,1,59.1,1,0.13587,4.2392,10.59,14.66,24.4,Waltham,0.489,18.6,4,6.064,277,0
GroupB,1,100,1,0.43571,3.875,10.59,23.09,20,Waltham,0.489,18.6,4,5.344,277,0
GroupB,1,92.1,1,0.17446,3.8771,10.59,17.27,21.7,Waltham,0.489,18.6,4,5.96,277,0
GroupB,1,88.6,1,0.37578,3.665,10.59,23.98,19.3,Waltham,0.489,18.6,4,5.404,277,0
GroupB,1,53.8,1,0.21719,3.6526,10.59,16.03,22.4,Waltham,0.489,18.6,4,5.807,277,0
GroupB,1,32.3,0,0.14052,3.9454,10.59,9.38,28.1,Waltham,0.489,18.6,4,6.375,277,0
GroupB,1,9.8,0,0.28955,3.5875,10.59,29.55,23.7,Waltham,0.489,18.6,4,5.412,277,0
GroupB,1,42.4,0,0.19802,3.9454,10.59,9.47,25,Waltham,0.489,18.6,4,6.182,277,0
GroupB,1,56,1,0.0456,3.1121,13.89,13.51,23.3,Watertown,0.55,16.4,5,5.888,276,0
GroupB,1,85.1,0,0.07013,3.4211,13.89,9.69,28.7,Watertown,0.55,16.4,5,6.642,276,0
GroupB,1,93.8,1,0.11069,2.8893,13.89,17.92,21.5,Watertown,0.55,16.4,5,5.951,276,0
GroupB,1,92.4,1,0.11425,3.3633,13.89,10.5,23,Watertown,0.55,16.4,5,6.373,276,0
GroupC,1,88.5,1,0.35809,2.8617,6.2,9.71,26.7,Newton,0.507,17.4,8,6.951,307,0
GroupC,1,91.3,1,0.40771,3.048,6.2,21.46,21.7,Newton,0.507,17.4,8,6.164,307,0
GroupC,1,77.7,1,0.62356,3.2721,6.2,9.93,27.5,Newton,0.507,17.4,8,6.879,307,0
GroupC,1,80.8,0,0.6147,3.2721,6.2,7.6,30.1,Newton,0.507,17.4,8,6.618,307,0
GroupC,1,78.3,0,0.31533,2.8944,6.2,4.14,44.8,Newton,0.504,17.4,8,8.266,307,0
GroupC,1,83,0,0.52693,2.8944,6.2,4.63,50,Newton,0.504,17.4,8,8.725,307,0
GroupC,1,86.5,0,0.38214,3.2157,6.2,3.13,37.6,Newton,0.504,17.4,8,8.04,307,0
GroupC,1,79.9,0,0.41238,3.2157,6.2,6.36,31.6,Newton,0.504,17.4,8,7.163,307,0
GroupC,1,17,0,0.29819,3.3751,6.2,3.92,46.7,Newton,0.504,17.4,8,7.686,307,0
GroupC,1,21.4,0,0.44178,3.3751,6.2,3.76,31.5,Newton,0.504,17.4,8,6.552,307,0
GroupC,1,68.1,0,0.537,3.6715,6.2,11.65,24.3,Newton,0.504,17.4,8,5.981,307,0
GroupC,1,76.9,0,0.46296,3.6715,6.2,5.25,31.7,Newton,0.504,17.4,8,7.412,307,0
GroupC,1,73.3,0,0.57529,3.8384,6.2,2.47,41.7,Newton,0.507,17.4,8,8.337,307,0
GroupC,1,70.4,0,0.33147,3.6519,6.2,3.95,48.3,Newton,0.507,17.4,8,8.247,307,0
GroupC,1,66.5,1,0.44791,3.6519,6.2,8.05,29,Newton,0.507,17.4,8,6.726,307,0
GroupC,1,61.5,0,0.33045,3.6519,6.2,10.88,24,Newton,0.507,17.4,8,6.086,307,0
GroupC,1,76.5,1,0.52058,4.148,6.2,9.54,25.1,Newton,0.507,17.4,8,6.631,307,0
GroupC,1,71.6,0,0.51183,4.148,6.2,4.73,31.5,Newton,0.507,17.4,8,7.358,307,0
GroupB,1,18.5,0,0.08244,6.1899,4.93,6.36,23.7,Natick,0.428,16.6,6,6.481,300,30
GroupB,1,42.2,0,0.09252,6.1899,4.93,7.37,23.3,Natick,0.428,16.6,6,6.606,300,30
GroupB,1,54.3,0,0.11329,6.3361,4.93,11.38,27,Natick,0.428,16.6,6,6.897,300,30
GroupB,1,65.1,0,0.10612,6.3361,4.93,12.4,20.1,Natick,0.428,16.6,6,6.095,300,30
